total_price,unit_price
126,16845
45,7654
73.6,6981
82,9056
88,14618
32.3,7062
62.8,12476
61.9,13723
65,8702
79,8389
65,13816
103,23921
95,10705
80,12977
72.8,11949
160,19313
490,25377
34,7672
93.5,9676
70,11217
68,13652
33.5,6058
128.8,14122
116,13688
71.5,14042
91,11667
55,14312
81,24022
85,18793
109.5,22279
88.8,11800
110,19435
74,15769
91,14379
58,13414
44,12870
143,28447
72.8,13482
47,8848
52,12869
51.5,15305
65,9559
118,13132
47,8203
38,8659
55,11378
201,22441
59.5,8650
59,11351
36.8,9524
81.8,13452
69.8,16971
111,15334
69.7,13732
68,8866
130,33096
137,20027
86.5,8607
96,11470
95,21320
52,6954
150,16042
53,11165
79,9998
114,12809
77,25164
63,12123
49,7347
133,16609
46,11538
95,18628
40,4939
33.3,8164
191.4,17887
97,14190
128,14239
68,12200
85,15242
74.8,15468
56.8,14126
155,21831
35.5,3354
126.5,15053
114,12683
56,11612
75,8826
85,14615
79,8587
132,13418
68,16655
118,13609
19.6,5205
92,20943
94.5,11525
55.8,8887
49.9,12776
45,8110
75,10360
125,18549
139.8,17935
71.8,8227
247,20036
120,20189
49.8,8456
102,13187
232,16629
205,17827
255,18568
80,11595
92.5,12334
45,8242
54.5,5639
105,24689
230,26745
66.5,8867
75,9499
62.8,12407
95,10441
120,15231
98,11464
139,19408
173.8,23320
195,40736
74,16471
15,3864
220,24554
128,13418
200,21667
129.8,13836
148,30989
223,25931
62.8,11566
159.8,17174
91,16465
14,2596
51.5,11012
170,18670
47,9831
59,13530
95,11956
59,14001
43.5,7017
50,6306
110,12968
172,19555
118,13161
46,8290
220,22836
123,15335
113,14956
53.5,8462
72,12791
40,8052
180,15930
136,24882
69,12011
83,16518
109,10445
125,28526
241,29463
76,12460
245,22623
82.5,12847
176,19139
69.5,16040
120,13794
168,23593
38,8686
79,8877
85,16733
43.5,9063
66,10460
76,12784
76,13897
84,8169
115,15683
44,7097
205,20743
47,9213
62,10690
138,24224
198,22336
79.7,8525
65,12793
106,14723
139,16083
109,17404
38,7308
117,15012
117,18000
147.7,16095
71.5,17346
109.8,10752
56,11149
133.5,18442
31.5,5728
113,13726
233,25255
103,11977
117,16405
63,10997
96,14001
125,15667
46.8,7549
115,15539
158,17417
134.8,15653
50.5,10775
51,8615
138,28454
63,8077
57.5,12506
92,22440
92,23984
46.7,12332
94,19130
86,12407
130,22223
217,29686
121,13258
129,13784
65,12758
134,28590
39,4131
80,16772
178.8,18861
123,14336
77.8,9563
142,15041
69.9,9180
105,15401
78,10903
106,12569
39,9545
119,24316
107.5,13900
85,14618
105,13660
123,21863
87.8,13535
260,24529
81,14571
79,23940
129.9,14510
132.8,14018
182,19900
87,25321
96.8,12269
70,12871
98,12113
79.8,11566
69.8,12216
49.3,12961
103,13334
360,30253
66,13456
46.8,13913
77.9,12299
78,11254
171.8,16520
49.5,10611
169,29083
58.3,10600
74.8,12195
85,12364
127,19894
96.5,12867
83.8,14325
55,10957
69.3,12212
83,15852
142,19825
143,23061
42,6462
69.5,14236
100,14904
177,22153
48.9,12808
202,48935
85,17750
136,28602
87.8,13816
103,12625
128,17302
92.5,9979
75,12988
53,12912
138.4,14575
69.9,17345
146,17599
78,15208
85,15214
62,17251
